tokenized_text,ner
"[""Indigo"", ""Blue"", ""is"", ""the"", ""kind"", ""of"", ""cozy"", ""read"", ""I"", ""need"", ""right"", ""now"", "".""]","[[0, 1, ""title""]]"
"[""I"", ""just"", ""finished"", ""The"", ""Day"", ""After"", ""Tomorrow"", "","", ""and"", ""Allan"", ""Folsom"", ""blew"", ""me"", ""away"", "".""]","[[3, 6, ""title""], [9, 10, ""author""]]"
"[""Can"", ""You"", ""Find"", ""The"", ""Work"", ""Illustrations"", ""Of"", ""Political"", ""Economy"", "","", ""Volume"", ""6"", ""("", ""Of"", ""9"", "")"", ""Written"", ""By"", ""Martineau"", "","", ""Harriet"", "","", ""1802-1876"", ""?""]","[{""start"": 5, ""end"": 15, ""label"": ""title""}, {""start"": 18, ""end"": 22, ""label"": ""author""}]"
"[""tell"", ""me"", ""about"", ""the"", ""creator"", ""stretton"", "","", ""hesba"", "","", ""1832-1911"", "".""]","[{""start"": 5, ""end"": 9, ""label"": ""author""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""\u82b1\u306e\u307f\u305e\u77e5\u308b 3 [Hana no mizoshiru 3]"", "" , "", ""Rihito"", ""Takarai"", ""is"", ""one"", ""of"", ""my"", ""fav"", ""authors"", "".""]","[[6, 6, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Only"", ""You"", ""Can"", ""Save"", ""Mankind"", ""by"", ""Terry"", ""Pratchett"", "".""]","[[6, 10, ""title""], [12, 13, ""author""]]"
"[""fetch"", ""details"", ""for"", ""the"", ""title"", ""memorial"", ""day"", "","", ""and"", ""other"", ""verse"", ""("", ""original"", ""and"", ""translated"", "")"", ""by"", ""the"", ""creator"", ""reed"", "","", ""helen"", ""leah"", "","", ""1860"", ""?"", ""-"", ""1926"", "".""]","[{""start"": 5, ""end"": 15, ""label"": ""title""}, {""start"": 19, ""end"": 27, ""label"": ""author""}]"
"[""I"", ""just"", ""finished"", ""One"", ""Evening"", ""in"", ""Paris"", ""and"", ""loved"", ""Nicolas"", ""Barreau""]","[[3, 6, ""title""], [9, 10, ""author""]]"
"[""I"", ""just"", ""finished"", ""Welcome"", ""to"", ""the"", ""Machine"", "":"", ""Science"", "","", ""Surveillance"", "","", ""and"", ""the"", ""Culture"", ""of"", ""Control"", ""and"", ""wow"", ""that"", ""stuff"", ""about"", ""control"", ""really"", ""hit"", "".""]","[[3, 16, ""title""]]"
"[""Who"", ""wrote"", ""The"", ""Only"", ""Living"", ""Witness"", "":"", ""The"", ""True"", ""Story"", ""of"", ""Serial"", ""Sex"", ""Killer"", ""Ted"", ""Bundy"", ""again"", ""?""]","[[2, 15, ""title""]]"
