tokenized_text,ner
"[""Just"", ""finished"", ""Soul"", ""Eater"", "" , "", ""Vol"", ""1"", ""and"", ""wow"", ""-"", ""Atsushi"", ""Ohkubo"", ""nailed"", ""it','.""]","[[2, 3, ""title""], [11, 12, ""author""]]"
"[""A"", ""friend"", ""asked"", "","", ""who"", ""wrote"", ""A"", ""Short"", ""History"", ""of"", ""a"", ""Small"", ""Place"", ""again"", ""?""]","[[6, 12, ""title""]]"
"[""My"", ""kid"", ""won't"", ""stop"", ""asking"", ""for"", ""The"", ""Very"", ""Hungry"", ""Caterpillar"", "","", ""by"", ""Eric"", ""Carle"", "".""]","[[6, 9, ""title""], [12, 13, ""author""]]"
"[""I"", ""just"", ""finished"", ""A"", ""Bad"", ""Spell"", ""for"", ""the"", ""Worst"", ""Witch"", ""last"", ""night"", "","", ""Jill"", ""Murphy"", "".""]","[[3, 9, ""title""], [13, 14, ""author""]]"
"[""Just"", ""finished"", ""Mortals"", ""by"", ""Norman"", ""Rush"", "","", ""and"", ""wow"", "","", ""that"", ""ending"", ""stuck"", ""with"", ""me"", "".""]","[[4, 5, ""author""]]"
"[""The"", ""Bane"", ""of"", ""the"", ""Black"", ""Sword"", ""by"", ""Michael"", ""Moorcock"", ""is"", ""pretty"", ""wild"", "".""]","[[1, 5, ""title""], [7, 8, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Carpe"", ""Demon""]","[[6, 7, ""title""]]"
"[""I"", ""keep"", ""meaning"", ""to"", ""read"", ""The"", ""Shadowhunter's"", ""Codex"", ""by"", ""Cassandra"", ""Clare""]","[[5, 7, ""title""], [9, 10, ""author""]]"
"[""My"", ""friend"", ""won't"", ""shut"", ""up"", ""about"", ""A"", ""Man"", ""to"", ""Call"", ""My"", ""Own"", ""by"", ""Johanna"", ""Lindsey"", "".""]","[[6, 11, ""title""], [13, 14, ""author""]]"
"[""That"", ""Um"", ""Homem"", "":"", ""Klaus"", ""Klump"", ""by"", ""Gon\u00e7alo"", ""M."", ""Tavares"", ""is"", ""wild"", "","", ""but"", ""I"", ""liked"", ""it"", ""more"", ""than"", ""some"", ""others"", "".""]","[[1, 5, ""title""], [7, 9, ""author""]]"
